"","Precision","Recall","TestError","ModelSize","Model","Ntree"
"1",1,1,0.111,5,"binomialRF",2000
"2",1,1,0.1,5,"binomialRF",2000
"3",1,1,0.102,5,"binomialRF",2000
"4",1,1,0.099,5,"binomialRF",2000
"5",1,1,0.113,5,"binomialRF",2000
"6",1,1,0.098,5,"binomialRF",2000
"7",1,1,0.112,5,"binomialRF",2000
"8",1,1,0.093,5,"binomialRF",2000
"9",1,1,0.102,5,"binomialRF",2000
"10",1,1,0.092,5,"binomialRF",2000
"11",1,1,0.102,5,"binomialRF",2000
"12",1,1,0.113,5,"binomialRF",2000
"13",1,1,0.106,5,"binomialRF",2000
"14",1,1,0.101,5,"binomialRF",2000
"15",1,1,0.096,5,"binomialRF",2000
"16",1,1,0.115,5,"binomialRF",2000
"17",1,1,0.1,5,"binomialRF",2000
"18",1,1,0.09,5,"binomialRF",2000
"19",1,1,0.098,5,"binomialRF",2000
"20",1,1,0.09,5,"binomialRF",2000
"21",1,1,0.11,5,"binomialRF",2000
"22",1,1,0.095,5,"binomialRF",2000
"23",1,1,0.101,5,"binomialRF",2000
"24",1,1,0.103,5,"binomialRF",2000
"25",1,1,0.113,5,"binomialRF",2000
"26",1,1,0.094,5,"binomialRF",2000
"27",1,1,0.098,5,"binomialRF",2000
"28",1,1,0.104,5,"binomialRF",2000
"29",1,1,0.108,5,"binomialRF",2000
"30",1,1,0.097,5,"binomialRF",2000
"31",1,1,0.102,5,"binomialRF",2000
"32",1,1,0.108,5,"binomialRF",2000
"33",1,1,0.105,5,"binomialRF",2000
"34",1,1,0.102,5,"binomialRF",2000
"35",1,1,0.1,5,"binomialRF",2000
"36",1,1,0.111,5,"binomialRF",2000
"37",1,1,0.104,5,"binomialRF",2000
"38",1,1,0.115,5,"binomialRF",2000
"39",1,1,0.113,5,"binomialRF",2000
"40",1,1,0.106,5,"binomialRF",2000
"41",1,1,0.111,5,"binomialRF",2000
"42",1,1,0.11,5,"binomialRF",2000
"43",1,1,0.096,5,"binomialRF",2000
"44",1,1,0.121,5,"binomialRF",2000
"45",1,1,0.117,5,"binomialRF",2000
"46",1,1,0.102,5,"binomialRF",2000
"47",1,1,0.093,5,"binomialRF",2000
"48",1,1,0.101,5,"binomialRF",2000
"49",1,1,0.097,5,"binomialRF",2000
"50",1,1,0.114,5,"binomialRF",2000
